,filename,rec_id,digit,length
0,speech_commands_v0.01/zero/988e2f9a_nohash_0.wav,-8858827208433607913,zero,8000
1,speech_commands_v0.01/zero/93ec8b84_nohash_0.wav,3892898980057050953,zero,8000
2,speech_commands_v0.01/zero/439c84f4_nohash_1.wav,5193698588468053486,zero,8000
3,speech_commands_v0.01/zero/2f813234_nohash_1.wav,-4388149875438780092,zero,8000
4,speech_commands_v0.01/zero/6a27a9bf_nohash_0.wav,453917263756615106,zero,8000
5,speech_commands_v0.01/zero/b87bdb22_nohash_1.wav,3260435970817539178,zero,8000
6,speech_commands_v0.01/zero/97f4c236_nohash_2.wav,-2112749941325589196,zero,8000
7,speech_commands_v0.01/zero/563aa4e6_nohash_2.wav,1316776955531643492,zero,8000
8,speech_commands_v0.01/zero/51055bda_nohash_4.wav,7142093649129027912,zero,8000
9,speech_commands_v0.01/zero/5fe4a278_nohash_0.wav,-3784660221743877325,zero,8000
10,speech_commands_v0.01/zero/e4a2cf79_nohash_0.wav,-4483171731225725786,zero,7168
11,speech_commands_v0.01/zero/742d6431_nohash_3.wav,-8908621468373286428,zero,8000
12,speech_commands_v0.01/zero/62581901_nohash_0.wav,-9165987615431722732,zero,8000
13,speech_commands_v0.01/zero/bf8d5617_nohash_0.wav,-7532879949585944928,zero,8000
14,speech_commands_v0.01/zero/7ff085e1_nohash_0.wav,-6518385948795156502,zero,8000
15,speech_commands_v0.01/zero/229978fd_nohash_3.wav,-6625517916849354292,zero,8000
16,speech_commands_v0.01/zero/39999a0f_nohash_1.wav,8426640690252681006,zero,8000
17,speech_commands_v0.01/zero/a5609cce_nohash_0.wav,-4513583975634260865,zero,8000
18,speech_commands_v0.01/zero/65f2531f_nohash_1.wav,-4105353914325642251,zero,6688
19,speech_commands_v0.01/zero/cab100c9_nohash_1.wav,-237520823292237101,zero,8000
20,speech_commands_v0.01/zero/686d030b_nohash_1.wav,-2883092344437926366,zero,8000
21,speech_commands_v0.01/zero/aef8dcf5_nohash_0.wav,-2857854948494799585,zero,8000
22,speech_commands_v0.01/zero/8012c69d_nohash_3.wav,-5624666830052373743,zero,8000
23,speech_commands_v0.01/zero/dc75148d_nohash_0.wav,-4342768353430962261,zero,8000
24,speech_commands_v0.01/zero/26e573a9_nohash_0.wav,-1692128343022096311,zero,7431
25,speech_commands_v0.01/zero/31583d30_nohash_0.wav,7663111066424532825,zero,8000
26,speech_commands_v0.01/zero/8134f43f_nohash_0.wav,-1709275111066428355,zero,8000
27,speech_commands_v0.01/zero/ffd2ba2f_nohash_4.wav,-1930774056639454971,zero,8000
28,speech_commands_v0.01/zero/bdb26021_nohash_1.wav,8406621308528695496,zero,8000
29,speech_commands_v0.01/zero/dd086776_nohash_1.wav,6425295421631454635,zero,8000
30,speech_commands_v0.01/zero/3f170018_nohash_0.wav,-2098193069406843214,zero,8000
31,speech_commands_v0.01/zero/65d844fc_nohash_0.wav,3666979986598333966,zero,8000
32,speech_commands_v0.01/zero/712e4d58_nohash_2.wav,8835615938713190055,zero,8000
33,speech_commands_v0.01/zero/5ab63b0a_nohash_0.wav,-6416853905313076723,zero,8000
34,speech_commands_v0.01/zero/1ba20be2_nohash_1.wav,2901985642051636955,zero,8000
35,speech_commands_v0.01/zero/a6d586b7_nohash_1.wav,6697987184991664722,zero,8000
36,speech_commands_v0.01/zero/3477fab6_nohash_0.wav,-5086618832861533373,zero,8000
37,speech_commands_v0.01/zero/b43c8f2f_nohash_1.wav,-6245981965094511134,zero,8000
